task,dataset,fold,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,datetime
7593,covertype,0,KNeighborsUnif_BAG_L1,0.9689511548655813,0.9623931460480771,5.6497509479522705,5.001569032669067,13.918676137924194,5.6497509479522705,5.001569032669067,13.918676137924194,1,True,1,2021-03-22 11:39:15.702929
7593,covertype,0,WeightedEnsemble_L2,0.9683659770747995,0.9621139393012181,9.34157681465149,8.842545509338379,60.676759481430054,0.009528875350952148,0.054151058197021484,41.435120820999146,2,True,3,2021-03-22 11:39:15.702929
7593,covertype,0,KNeighborsDist_BAG_L1,0.9466455543699012,0.9153735824520473,3.6822969913482666,3.78682541847229,5.322962522506714,3.6822969913482666,3.78682541847229,5.322962522506714,1,True,2,2021-03-22 11:39:15.702929
7593,covertype,0,LightGBM_DSTL_KNOW,0.8180097070668824,0.8286806883365201,0.5261483192443848,0.10577511787414551,60.09622883796692,0.5261483192443848,0.10577511787414551,60.09622883796692,1,True,4,2021-03-22 11:39:15.702929
7593,covertype,0,WeightedEnsemble_L2_DSTL_KNOW,0.8180097070668824,0.8286806883365201,0.5292994976043701,0.10895228385925293,60.10055899620056,0.0031511783599853516,0.003177165985107422,0.004330158233642578,2,True,5,2021-03-22 11:39:15.702929
7593,covertype,1,WeightedEnsemble_L2,0.9715672438126054,0.9692451855959917,9.589879035949707,8.708733081817627,64.18848395347595,0.009005069732666016,0.05987095832824707,42.176353931427,2,True,3,2021-03-22 11:46:02.053463
7593,covertype,1,KNeighborsUnif_BAG_L1,0.9715156104781246,0.9692145875963359,5.446326017379761,4.538482427597046,14.086287498474121,5.446326017379761,4.538482427597046,14.086287498474121,1,True,1,2021-03-22 11:46:02.053463
7593,covertype,1,KNeighborsDist_BAG_L1,0.9629272658428282,0.9368572029603565,4.13454794883728,4.110379695892334,7.925842523574829,4.13454794883728,4.110379695892334,7.925842523574829,1,True,2,2021-03-22 11:46:02.053463
7593,covertype,1,LightGBM_DSTL_KNOW,0.820281573784035,0.8219885277246654,0.5506131649017334,0.09984707832336426,60.153156757354736,0.5506131649017334,0.09984707832336426,60.153156757354736,1,True,4,2021-03-22 11:46:02.053463
7593,covertype,1,WeightedEnsemble_L2_DSTL_KNOW,0.820281573784035,0.8219885277246654,0.5541172027587891,0.10309886932373047,60.157490730285645,0.003504037857055664,0.003251791000366211,0.004333972930908203,2,True,5,2021-03-22 11:46:02.053463
