task,dataset,fold,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,datetime
bostonHousing,bostonHousing,0,XGBoost_DSTL_BASE,0.9325317583812016,0.8396535193732014,0.05814194679260254,0.003137826919555664,0.9046401977539062,0.05814194679260254,0.003137826919555664,0.9046401977539062,1,True,21,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,XGBoost_BAG_L1,0.9152511366428178,0.8806864911607702,5.700348854064941,0.24492621421813965,79.2854278087616,5.700348854064941,0.24492621421813965,79.2854278087616,1,True,8,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,NeuralNetMXNet_BAG_L1,0.911819601610962,0.8979540731276764,1.8240408897399902,1.0285637378692627,237.5756652355194,1.8240408897399902,1.0285637378692627,237.5756652355194,1,True,9,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,WeightedEnsemble_L2,0.9104988595589918,0.9046139982273689,3.3891515731811523,1.612649917602539,737.558765411377,0.004071950912475586,0.00046896934509277344,0.3627758026123047,2,True,11,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,CatBoost_DSTL_BASE,0.9011736442661744,0.8533146176695774,0.001934051513671875,0.0020737648010253906,1.2807211875915527,0.001934051513671875,0.0020737648010253906,1.2807211875915527,1,True,19,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,WeightedEnsemble_L2_DSTL_BASE,0.8978356558752443,0.8584327829635853,0.06995916366577148,0.008328437805175781,4.5290422439575195,0.00401616096496582,0.0005009174346923828,0.22255802154541016,2,True,23,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,CatBoost_BAG_L1,0.8916886783235047,0.8930560089309058,0.30149102210998535,0.13806605339050293,158.2109453678131,0.30149102210998535,0.13806605339050293,158.2109453678131,1,True,7,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,RandomForest_DSTL_BASE,0.8778760670672014,0.8240281041443238,0.04014706611633301,0.03162503242492676,0.4359879493713379,0.04014706611633301,0.03162503242492676,0.4359879493713379,1,True,20,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,RandomForestMSE_BAG_L1,0.8741794487579155,0.8572992942004118,4.034060001373291,2.6117565631866455,35.64496350288391,4.034060001373291,2.6117565631866455,35.64496350288391,1,True,1,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,CatBoost_DSTL_KNOW,0.8729922192645676,0.8480636389147881,0.0027332305908203125,0.0019168853759765625,4.487979173660278,0.0027332305908203125,0.0019168853759765625,4.487979173660278,1,True,13,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,XGBoost_DSTL_KNOW,0.8681115687201468,0.8588778212106148,0.09140872955322266,0.0029070377349853516,1.1335248947143555,0.09140872955322266,0.0029070377349853516,1.1335248947143555,1,True,15,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,LightGBMLarge_BAG_L1,0.8675160400367945,0.8752493217514216,0.9841678142547607,0.2134714126586914,233.86474418640137,0.9841678142547607,0.2134714126586914,233.86474418640137,1,True,10,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,WeightedEnsemble_L2_DSTL_KNOW,0.8651739628081428,0.8626256897805215,0.11241698265075684,0.009054899215698242,8.013713121414185,0.004172086715698242,0.0004119873046875,0.20949506759643555,2,True,17,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,ExtraTreesMSE_BAG_L1,0.8623117307875133,0.8847746769443292,5.845935821533203,2.497929096221924,26.299447774887085,5.845935821533203,2.497929096221924,26.299447774887085,1,True,2,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,RandomForest_DSTL_KNOW,0.8532047229620731,0.7932544314834896,0.04563188552856445,0.02586507797241211,0.3498528003692627,0.04563188552856445,0.02586507797241211,0.3498528003692627,1,True,14,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,LightGBM_DSTL_KNOW,0.8491308240528792,0.847319359163184,0.014102935791015625,0.003818988800048828,2.1827139854431152,0.014102935791015625,0.003818988800048828,2.1827139854431152,1,True,12,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,LightGBM_DSTL_BASE,0.8445795032630998,0.8405072076297231,0.00586700439453125,0.0026159286499023438,2.1211228370666504,0.00586700439453125,0.0026159286499023438,2.1211228370666504,1,True,18,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,LightGBMXT_BAG_L1,0.8415234977710938,0.8824297997022165,0.7122869491577148,0.23308825492858887,186.55769562721252,0.7122869491577148,0.23308825492858887,186.55769562721252,1,True,6,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,LightGBM_BAG_L1,0.8371571579340601,0.8763466642925195,0.5472607612609863,0.2124629020690918,154.8516833782196,0.5472607612609863,0.2124629020690918,154.8516833782196,1,True,5,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,LinearModel_DSTL_BASE,0.7876516370495223,0.5867529931529075,0.0077667236328125,0.007576942443847656,0.018707990646362305,0.0077667236328125,0.007576942443847656,0.018707990646362305,1,True,22,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,LinearModel_DSTL_KNOW,0.7785021561969692,0.5941619638752267,0.0068302154541015625,0.00692296028137207,0.02488088607788086,0.0068302154541015625,0.00692296028137207,0.02488088607788086,1,True,16,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,KNeighborsDist_BAG_L1,0.5478655121329763,0.5601444959987385,0.43754029273986816,0.4700324535369873,0.1336519718170166,0.43754029273986816,0.4700324535369873,0.1336519718170166,1,True,4,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,0,KNeighborsUnif_BAG_L1,0.45314752354963606,0.5266502310227221,0.4385368824005127,0.443509578704834,0.12881779670715332,0.4385368824005127,0.443509578704834,0.12881779670715332,1,True,3,2021-03-22 12:15:56.258111
bostonHousing,bostonHousing,1,ExtraTreesMSE_BAG_L1,0.9361322963985306,0.8766140309136707,5.946291923522949,2.624635934829712,27.715445041656494,5.946291923522949,2.624635934829712,27.715445041656494,1,True,2,2021-03-22 12:35:50.924390
